รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103124,ศพด.บ้านคลองเคลียน,,,,หนองกรด,บรรพตพิสัย,นครสวรรค์,,,,,
60103125,ศพด.บ้านบึง,,,,หนองกรด,บรรพตพิสัย,นครสวรรค์,,,,,
60103126,ศพด.วัดบ้านพลัง,,,,หนองกรด,บรรพตพิสัย,นครสวรรค์,,,,,
60103127,ศพด.บรรพตพิสัย(ฝั่งเจริญผล),,,,บรรพตพิสัย,บรรพตพิสัย,นครสวรรค์,,,,,
60103128,ศพด.บรรพตพิสัย(ฝั่งส้มเสี้ยว),,,,บรรพตพิสัย,บรรพตพิสัย,นครสวรรค์,,,,,
60103129,ศพด.บ้านบางแก้ว,,,,บางแก้ว,บรรพตพิสัย,นครสวรรค์,,,,,
60103130,ศพด.บ้านมิตรภาพ,,,,บางแก้ว,บรรพตพิสัย,นครสวรรค์,,,,,
60103131,ศพด.ตาขีด,,,,ตาขีด,บรรพตพิสัย,นครสวรรค์,,,,,
60103132,ศพด.ท่าน้ำอ้อยม่วงหัก,,,,ท่าน้ำอ้อยม่วงหัก,พยุหะคีรี,นครสวรรค์,,,,,
60103133,ศพด.บ้านเขาไม้เดน,,,,ท่าน้ำอ้อยม่วงหัก,พยุหะคีรี,นครสวรรค์,,,,,
60103134,ศพด.เขาบ่อพลับ,,,,ท่าน้ำอ้อยม่วงหัก,พยุหะคีรี,นครสวรรค์,,,,,
60103135,ศพด.อนุบาลพยุหะคีรี (วัดปรางค์เหลือง),,,,ท่าน้ำอ้อยม่วงหัก,พยุหะคีรี,นครสวรรค์,,,,,
60103136,ศพด.เขาทอง,,,,เขาทอง,พยุหะคีรี,นครสวรรค์,,,,,
60103137,ศพด.ยางขาว,,,,ยางขาว,พยุหะคีรี,นครสวรรค์,,,,,
60103138,ศพด.บ้านดอนกระชาย,,,,ยางขาว,พยุหะคีรี,นครสวรรค์,,,,,
60103139,ศพด.ท่าโก,,,,ยางขาว,พยุหะคีรี,นครสวรรค์,,,,,
60103140,ศพด.สระทะเล,,,,สระทะเล,พยุหะคีรี,นครสวรรค์,,,,,
60103141,ศพด.บ้านใหม่ศึกษา,,,,สระทะเล,พยุหะคีรี,นครสวรรค์,,,,,
60103142,ศพด.บ้านธารหวาย,,,,สระทะเล,พยุหะคีรี,นครสวรรค์,,,,,
60103143,ศพด.บ้านหนองไม้แดง,,,,นิคมเขบ่อแก้ว,พยุหะคีรี,นครสวรรค์,,,,,
